ticker,name,avg_volume,avg_value,last_price,theme
69500,KODEX 200,17901463.57142857,988174606101.1904,55945,
459580,KODEX CD금리액티브(합성),242092.7619047619,260124846341.1905,1074125,
102110,TIGER 200,4518849.0,250629516453.3333,55950,
411060,ACE KRX금현물,6655513.047619048,189793442390.0,27365,
91160,KODEX 반도체,3269666.8571428573,182877699364.7619,57350,
396500,TIGER 반도체TOP10,10087312.0,180368759253.3333,18050,
466920,SOL 조선TOP3플러스,4619052.857142857,169096841146.1905,35010,
229200,KODEX 코스닥150,11012861.76190476,165569777673.09525,15185,
360750,TIGER 미국S&P500,6243341.238095238,149976723149.7619,24355,
305720,KODEX 2차전지산업,8557229.666666666,129857776550.95238,15540,
395270,HANARO Fn K-반도체,6591361.380952381,121820204897.38097,18690,
148020,RISE 200,1961697.380952381,108594350817.61903,56375,
449450,PLUS K방산,1802814.4285714289,101130588141.19048,52235,
379800,KODEX 미국S&P500,4101185.1904761903,90373732408.09525,22310,
0117V0,TIGER 코리아AI전력기기TOP3플러스,7023757.071428572,89428353607.85715,13040,전력
133690,TIGER 미국나스닥100,508923.8571428572,81720607456.66667,162875,
381170,TIGER 미국테크TOP10 INDXX,2694237.523809524,81387357939.7619,30850,
462010,TIGER 2차전지소재Fn,10736019.142857144,58970227773.809525,5480,
102970,KODEX 증권,3816250.3333333335,58716929911.90476,14885,
364980,TIGER 2차전지TOP10,5487144.904761905,53817986034.28571,9785,2차전지
364980,TIGER 2차전지TOP10,5487144.904761905,53817986034.28571,9785,
434730,HANARO 원자력iSelect,1130883.9047619049,52665479728.09524,48140,전력
434730,HANARO 원자력iSelect,1130883.9047619049,52665479728.09524,48140,
457480,ACE 테슬라밸류체인액티브,2256632.476190476,49496937471.66666,22395,
0053L0,TIGER 차이나휴머노이드로봇,3594232.380952381,47685211349.04762,13100,로봇
379810,KODEX 미국나스닥100,1943940.047619048,46829398632.14286,24430,
305540,TIGER 2차전지테마,2378870.1904761903,45240291653.09524,19040,
381180,TIGER 미국필라델피아반도체나스닥,1647773.238095238,43055205414.52381,26975,
91230,TIGER 반도체,719343.8571428572,42148813049.04762,59890,
395160,KODEX AI반도체,2572302.9523809524,41454325265.95238,16300,
139230,TIGER 200 중공업,2527955.9523809524,36915360493.333336,14170,
152100,PLUS 200,629961.0952380953,35590221823.57143,56915,
455850,SOL AI반도체소부장,2110086.380952381,35516601541.42857,16640,
423160,KODEX KOFR금리액티브(합성),320547.71428571426,35503725497.38095,110720,
0123G0,TIGER 미국AI전력SMR,3640912.25,34496723966.25,9085,전력
91180,KODEX 자동차,1561721.619047619,33259974184.285717,21060,
292150,TIGER TOP10,1766667.2857142857,32431200885.23809,19035,
0091P0,TIGER 코리아원자력,2939408.8571428573,31681175640.47619,10080,전력
371460,TIGER 차이나전기차SOLACTIVE,2390535.285714286,30884867253.809525,13285,전력
371460,TIGER 차이나전기차SOLACTIVE,2390535.285714286,30884867253.809525,13285,
445290,KODEX 로봇액티브,1271338.238095238,28869830636.90476,22490,로봇
445290,KODEX 로봇액티브,1271338.238095238,28869830636.90476,22490,
139260,TIGER 200 IT,590169.5714285715,28399796475.95238,51390,
228790,TIGER 화장품,7606604.238095238,28134977745.0,3530,
0051G0,SOL 미국원자력SMR,1440362.142857143,27597137551.190475,17425,전력
161510,PLUS 고배당주,1382107.3333333333,27507957943.33333,20260,
371160,TIGER 차이나항셍테크,2886010.761904762,27492920801.666668,9435,
426030,TIMEFOLIO 미국나스닥100액티브,742499.8571428572,27322549265.714287,36015,
226490,KODEX 코스피,668954.7619047619,26800258911.190475,40395,
463250,TIGER K방산&우주,843676.0,26071224219.04762,28265,우주항공
463250,TIGER K방산&우주,843676.0,26071224219.04762,28265,
456600,TIMEFOLIO 글로벌AI인공지능액티브,681863.0476190476,25928612736.90476,37040,
456600,TIMEFOLIO 글로벌AI인공지능액티브,681863.0476190476,25928612736.90476,37040,AI
360200,ACE 미국S&P500,1056126.761904762,25665787489.52381,24615,
465580,ACE 미국빅테크TOP7 Plus,1142912.4761904762,25589876781.90476,22865,
469070,RISE AI&로봇,1928047.4285714289,23272276118.33333,11600,AI
0080G0,KODEX K방산TOP10,2075832.142857143,21637236991.90476,9540,우주항공
388420,RISE 비메모리반도체액티브,1304203.8095238097,20847538486.42857,16065,반도체
442320,RISE 글로벌원자력,463659.9523809524,19347369136.90476,39300,전력
422420,RISE 2차전지액티브,1783467.8095238097,13718655652.619047,7485,2차전지
465330,RISE 2차전지TOP10,1015415.6666666666,10906105538.809525,10770,2차전지
0101N0,RISE AI전력인프라,857409.4285714285,10860161480.47619,13095,AI
0098F0,KODEX K원자력SMR,864281.8571428572,9419400237.142857,10220,전력
0093A0,RISE AI반도체TOP10,505467.1904761905,8171476293.809524,16310,AI
0005D0,SOL 전고체배터리&실리콘음극재,413001.4285714286,5373254586.190476,12945,2차전지
0036R0,RISE 미국휴머노이드로봇,294550.6666666667,4474012654.047619,15800,로봇
478150,TIMEFOLIO 글로벌우주테크&방산액티브,203057.2380952381,4122096688.571429,19765,우주항공
466810,BNK 2차전지양극재,575178.9523809524,3784499289.5238094,6410,2차전지
469050,RISE 미국반도체NYSE(H),80686.33333333333,1482654986.4285717,18550,반도체
469060,RISE 미국반도체NYSE,58522.619047619046,1198782180.0,20785,반도체
421320,PLUS 우주항공&UAM,49683.619047619046,1151841018.3333333,21525,우주항공
461340,HANARO 글로벌생성형AI액티브,33601.47619047619,956147338.095238,27860,AI
487750,BNK 온디바이스AI,54917.76190476191,682717145.2380953,13080,AI
394660,TIGER 글로벌자율주행&전기차SOLACTIVE,44543.66666666666,630399251.4285715,14410,전력
440910,WON 미국우주항공방산,26070.42857142857,628217367.1428572,23405,우주항공
446700,RISE 배터리 리사이클링,49757.80952380953,527953776.6666667,10510,2차전지
480310,TIGER 글로벌온디바이스AI,36950.333333333336,499162482.6190477,13470,AI
276990,KODEX 글로벌로봇(합성),18403.19047619048,417488695.95238096,23030,로봇
0005G0,ITF K-AI반도체코어테크,19171.52380952381,357951364.52380955,18840,AI
381560,HANARO Fn전기&수소차,32562.23809523809,315999997.85714287,9690,전력
0082F0,HANARO 유럽방산,21694.714285714286,235228683.0952381,10630,우주항공
